Benchmark,Job Name,Total Cycles,Total Power,Total Power MV100,Max Power,Max Power MV100,Power Utilization,Power Utilization MV100,STDev Total Power,STDev Total Power MV100,Average Frequency
color_max,job1_ff500,8674567,78.72595012997876,78.5054983312,248.603,243.10612,1.3343381377962487,1.33060166663,45.0659029067,42.0773680397,500.0
color_max,job1_ff700_take2,8583568,81.81682647288392,81.5388118102,343.784,311.330412,1.3867258724217613,1.3820137595,51.4308163592,47.9246434414,700.0
color_max,job1_ff900,8564793,85.28896743808785,85.0007343378,369.939,324.60466,1.445575719289617,1.4406904125,54.2027638567,50.6436477563,900.0
color_max,job2_capp_59_0TDP,8637644,80.61264780723592,80.3890425885,305.162,244.4516,1.3663160645294221,1.36252614557,44.3578192935,41.2977685425,682.9001447178003
color_max,job2_expandedvf_capp_59_0TDP,8648574,80.52857757530218,80.3055466915,334.866,245.20624,1.3648911453440997,1.36111096087,44.4516065652,41.3622830924,684.5386835866999
color_max,job2_expandedvf_ff100,12678071,44.159694105477946,44.1188918739,45.2495,44.755147,0.7484693916182726,0.747777828372,3.24308414615,1.43759903076,100.0
color_max,job2_expandedvf_ff1500,8515629,92.68009651106809,92.3584588197,407.952,368.00917,1.5708490934079364,1.56539760711,61.2698399924,57.4030562631,1500.0
color_max,job2_expandedvf_ff500,8674567,78.72595012997876,78.5054983312,248.603,243.10612,1.3343381377962487,1.33060166663,45.0659029067,42.0773680397,500.0
color_max,job2_expandedvf_ff700,8583568,81.81682647288392,81.5388118102,343.784,311.330412,1.3867258724217613,1.3820137595,51.4308163592,47.9246434414,700.0
color_max,job2_expandedvf_ff900,8564793,85.28896743808785,85.0007343378,369.939,324.60466,1.445575719289617,1.4406904125,54.2027638567,50.6436477563,900.0
color_maxmin,job1_ff500,4984276,95.07471447532137,94.6710566097,246.324,243.251827,1.6114358385647578,1.60459417982,41.9400294179,38.4170941267,500.0
color_maxmin,job1_ff700_take2,4929333,98.93800380097387,98.4356941473,345.312,309.014841,1.6769153186605725,1.66840159572,48.8856886724,44.6709640598,700.0
color_maxmin,job1_ff900,4906081,103.07651067366487,102.553515833,361.304,325.883349,1.7470595029434741,1.7381951836,51.887295807,47.3530930277,900.0
color_maxmin,job2_capp_59_0TDP,4984690,95.10498582455601,94.7016971285,305.707,244.38425,1.6119489122806157,1.60511351065,42.3050685189,38.5927448528,501.4645400742301
color_maxmin,job2_expandedvf_capp_59_0TDP,4985870,95.07035225012532,94.6620847533,272.496,243.58645,1.611361902544494,1.60444211446,42.1310028522,38.5003355052,501.12326918062377
color_maxmin,job2_expandedvf_ff100,8979777,44.21084551879276,44.1510388377,45.2743,44.856652,0.749336364725305,0.748322692165,3.0109428438,1.45539160047,100.0
color_maxmin,job2_expandedvf_ff1500,4877210,113.5591361677264,112.959233982,414.413,368.84917,1.9247311214868736,1.91456328782,58.293038812,53.1832273116,1500.0
color_maxmin,job2_expandedvf_ff500,4984276,95.07471447532137,94.6710566097,246.324,243.251827,1.6114358385647578,1.60459417982,41.9400294179,38.4170941267,500.0
color_maxmin,job2_expandedvf_ff700,4929333,98.93800380097387,98.4356941473,345.312,309.014841,1.6769153186605725,1.66840159572,48.8856886724,44.6709640598,700.0
color_maxmin,job2_expandedvf_ff900,4906081,103.07651067366487,102.553515833,361.304,325.883349,1.7470595029434741,1.7381951836,51.887295807,47.3530930277,900.0
fw,job1_ff500,5471299,59.82580456132315,59.683124255,256.31,74.3235048,1.0139966874800543,1.0115783772,41.2710454903,6.36436982336,500.0
fw,job1_ff700_take2,5355819,64.41429150228737,64.265885293,379.885,81.200002,1.0917676525811346,1.0892522931,51.7824808745,7.46591649115,700.0
fw,job1_ff900,5290498,68.45446031663495,68.2950061066,467.753,85.268518,1.1602450901124617,1.15754247638,59.3891470575,8.04500855307,900.0
fw,job2_capp_59_0TDP,5376298,63.335854519158936,63.1884969603,464.91,77.0966822,1.0734890596467632,1.0709914739,48.3303901522,6.34147377379,681.9475446428571
fw,job2_expandedvf_capp_59_0TDP,5380897,63.48081614719794,63.3374336695,470.888,77.921954,1.075946036393191,1.07351582491,48.5840793976,6.11988109336,694.1120208158769
fw,job2_expandedvf_ff100,10909441,26.767978620405316,26.7393724647,45.3528,28.93433668,0.45369455288822325,0.453209702792,9.83975725251,1.17641927953,100.0
fw,job2_expandedvf_ff1500,5196505,78.98593717309693,78.7933473542,602.429,98.910574,1.3387446978491058,1.33548046363,76.1535178175,9.63171533829,1500.0
